unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1403263,G117094,2001-01-01 00:00:00 UTC,084XX S PRAIRIE AV,1120,DECEPTIVE PRACTICE,FORGERY,BANK,false,false,632,6,,,10,1179544.0,1849083.0,2001,2015-08-17 15:03:40 UTC,41.741163326,-87.617740827,"(41.741163326, -87.617740827)"
2429863,HH749904,2001-01-01 00:00:00 UTC,095XX S WESTERN AVE,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,false,false,2213,22,19,72,10,1162090.0,1841396.0,2001,2015-08-17 15:03:40 UTC,41.720449455,-87.681904417,"(41.720449455, -87.681904417)"
1322501,G016827,2001-01-01 00:00:00 UTC,010XX N KEDVALE AV,0820,THEFT,$500 AND UNDER,STREET,false,false,1111,11,,,06,1148493.0,1906380.0,2001,2015-08-17 15:03:40 UTC,41.899046677,-87.730036643,"(41.899046677, -87.730036643)"
1322043,G003560,2001-01-01 00:00:00 UTC,061XX S ARTESIAN AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,825,8,,,14,1161130.0,1863925.0,2001,2015-08-17 15:03:40 UTC,41.782292325,-87.684798685,"(41.782292325, -87.684798685)"
1352564,G055473,2001-01-01 00:00:00 UTC,018XX N TALMAN AV,0820,THEFT,$500 AND UNDER,STREET,false,false,1421,14,,,06,1158368.0,1912249.0,2001,2015-08-17 15:03:40 UTC,41.914955409,-87.693605188,"(41.914955409, -87.693605188)"
1310313,G000070,2001-01-01 00:00:00 UTC,109XX S LONGWOOD DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2212,22,,,14,1165016.0,1832136.0,2001,2015-08-17 15:03:40 UTC,41.694977232,-87.671447845,"(41.694977232, -87.671447845)"
3883928,HL259842,2001-01-01 00:00:00 UTC,036XX S HERMITAGE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,922,9,11,59,06,1165325.0,1880349.0,2001,2006-03-31 22:03:38 UTC,41.827273854,-87.668953146,"(41.827273854, -87.668953146)"
1868152,G602154,2001-01-01 00:00:00 UTC,042XX W 25 PL,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,OTHER,false,false,1013,10,,,20,1148584.0,1886677.0,2001,2015-08-17 15:03:40 UTC,41.844977579,-87.730210891,"(41.844977579, -87.730210891)"
9755180,HX403550,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
9755126,HX403541,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
1311655,G002481,2001-01-01 00:00:00 UTC,121XX S RACINE AV,0810,THEFT,OVER $500,RESIDENCE,false,false,524,5,,,06,1170487.0,1824179.0,2001,2015-08-17 15:03:40 UTC,41.673024796,-87.651647315,"(41.673024796, -87.651647315)"
5044499,HM653475,2001-01-01 00:00:00 UTC,052XX S HONORE ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,932,9,16,61,06,1164858.0,1870138.0,2001,2006-10-14 06:13:36 UTC,41.799263603,-87.670955259,"(41.799263603, -87.670955259)"
9755238,HX403557,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
4160307,HL493872,2001-01-01 00:00:00 UTC,014XX S TRUMBULL AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1021,10,24,29,06,1153638.0,1892980.0,2001,2006-03-31 22:03:38 UTC,41.862174853,-87.711495725,"(41.862174853, -87.711495725)"
6110799,HP199889,2001-01-01 00:00:00 UTC,001XX S PARKSIDE AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,false,false,1513,15,29,25,02,1138594.0,1898855.0,2001,2008-04-25 01:06:11 UTC,41.878582384,-87.766578389,"(41.878582384, -87.766578389)"
10473864,HZ213356,2001-01-01 00:00:00 UTC,012XX S DAMEN AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,OTHER,false,false,1233,12,2,28,17,,,2001,2016-04-09 15:47:49 UTC,,,
1843192,G681852,2001-01-01 00:00:00 UTC,010XX N LAWNDALE AV,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1112,11,,,06,1151475.0,1906921.0,2001,2015-08-17 15:03:40 UTC,41.900473169,-87.719069548,"(41.900473169, -87.719069548)"
1559473,G318546,2001-01-01 00:00:00 UTC,117XX S ELIZABETH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,524,5,,,26,1170074.0,1826684.0,2001,2015-08-17 15:03:40 UTC,41.679907896,-87.65308654,"(41.679907896, -87.65308654)"
9442043,HW586150,2001-01-01 00:00:00 UTC,008XX S INDEPENDENCE BLVD,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1133,11,24,26,02,,,2001,2015-08-17 15:03:40 UTC,,,
2676160,HJ293653,2001-01-01 00:00:00 UTC,048XX S MAY ST,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,921,9,20,61,17,1169438.0,1872428.0,2001,2015-08-17 15:03:40 UTC,41.80544954,-87.654092913,"(41.80544954, -87.654092913)"
2039846,HH251439,2001-01-01 00:00:00 UTC,001XX E 118 PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,532,5,,,06,1179480.0,1826388.0,2001,2015-08-17 15:03:40 UTC,41.678886683,-87.618665456,"(41.678886683, -87.618665456)"
1310494,G000802,2001-01-01 00:00:00 UTC,0000X W ILLINOIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1831,18,,,14,1176114.0,1903564.0,2001,2015-08-17 15:03:40 UTC,41.890741624,-87.628671125,"(41.890741624, -87.628671125)"
1780042,G600951,2001-01-01 00:00:00 UTC,105XX S PARNELL AV,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,2233,22,,,26,1174535.0,1835045.0,2001,2015-08-17 15:03:40 UTC,41.702753949,-87.636509707,"(41.702753949, -87.636509707)"
1692462,G485012,2001-01-01 00:00:00 UTC,063XX S CENTRAL AV,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,813,8,,,26,1140208.0,1862044.0,2001,2015-08-17 15:03:40 UTC,41.777537944,-87.761551613,"(41.777537944, -87.761551613)"
4768442,HM381863,2001-01-01 00:00:00 UTC,048XX S KENWOOD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,false,false,2124,2,4,39,02,1185896.0,1873229.0,2001,2006-06-08 04:09:24 UTC,41.807274768,-87.593706931,"(41.807274768, -87.593706931)"
1570587,G331192,2001-01-01 00:00:00 UTC,031XX N LAKE SHORE DR,0810,THEFT,OVER $500,APARTMENT,false,false,2332,19,,,06,1173387.0,1921111.0,2001,2015-08-17 15:03:40 UTC,41.938952432,-87.638163582,"(41.938952432, -87.638163582)"
2717983,HJ347945,2001-01-01 00:00:00 UTC,058XX W DIVISION ST,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,false,1511,15,29,25,20,1137142.0,1907358.0,2001,2015-08-17 15:03:40 UTC,41.9019419,-87.771705566,"(41.9019419, -87.771705566)"
1313893,G000035,2001-01-01 00:00:00 UTC,027XX W NELSON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1411,14,,,14,1157359.0,1920111.0,2001,2015-08-17 15:03:40 UTC,41.936549915,-87.697097823,"(41.936549915, -87.697097823)"
3180127,HK185693,2001-01-01 00:00:00 UTC,078XX S LANGLEY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,624,6,6,69,06,1182216.0,1853077.0,2001,2006-03-31 22:03:38 UTC,41.752061911,-87.607827503,"(41.752061911, -87.607827503)"
1721651,G525288,2001-01-01 00:00:00 UTC,004XX E 32 ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2122,2,,,06,1179454.0,1883820.0,2001,2015-08-17 15:03:40 UTC,41.836487007,-87.617010173,"(41.836487007, -87.617010173)"
4498285,HL802696,2001-01-01 00:00:00 UTC,016XX E 79TH ST,1120,DECEPTIVE PRACTICE,FORGERY,BANK,false,false,411,4,8,43,10,1188356.0,1852965.0,2001,2006-03-31 22:03:38 UTC,41.751610292,-87.585331018,"(41.751610292, -87.585331018)"
9652075,HX302422,2001-01-01 00:00:00 UTC,033XX W WALNUT ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1123,11,28,27,02,,,2001,2015-08-17 15:03:40 UTC,,,
9755056,HX403531,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
9959537,HY141743,2001-01-01 00:00:00 UTC,034XX N NOTTINGHAM AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,1632,16,36,17,20,,,2001,2015-08-31 15:43:09 UTC,,,
8197725,HT431595,2001-01-01 00:00:00 UTC,009XX N HOMAN AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,1121,11,27,23,02,1153583.0,1905844.0,2001,2011-09-20 00:43:48 UTC,41.8974761,-87.711355397,"(41.8974761, -87.711355397)"
2893567,HJ560176,2001-01-01 00:00:00 UTC,087XX S ELIZABETH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2222,22,21,71,06,1169564.0,1846653.0,2001,2006-03-31 22:03:38 UTC,41.734716977,-87.654377051,"(41.734716977, -87.654377051)"
9747360,HX397217,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
1559213,G318460,2001-01-01 00:00:00 UTC,052XX S BISHOP ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,933,9,,,26,1167598.0,1869900.0,2001,2015-08-17 15:03:40 UTC,41.798552125,-87.660913825,"(41.798552125, -87.660913825)"
